sequence,score
"Is this who we really want to be? A nation with a leader who promotes bigotry, racism, anti-women, anti-journalism, anti-climate change?",0.008139070123434067
"100% agree with @DrJillStein on climate change. The choices in this election look to be 100 steps backwards, 50 steps forward, or zero.",0.004845255520194769
75 degrees in StL on last day in October. I am all for this global warming hoax!,0.021905364468693733
Y'all still don't believe in global warming SMH ,0.004508673679083586
Everyone must watch #BeforetheFlood. Great documentary produced by @LeoDiCaprio &amp; his team showing effects of climate change. Eye-opening,0.9995344877243042
"@AngieNBC6 you do understand that climate change is natural, not necessarily caused by humans. It snowed in Miami, and the atlantic froze",0.047368817031383514
Recent pattern of cloud cover may have masked some global warming ,0.09702512621879578
"Google is being very odd, we know they manipulate search results, but I woke up to a climate change documentary loaded up on YouTube...(1/2)",0.001993319485336542
Niggas asked me what my inspiration was l said global warming.,0.015184291638433933
"They ask me my inspiration I tell em global warming, too cozy",0.0047263228334486485
Probably the scariest thing you'll watch this Halloween. Leonardo Di Caprio's climate change documentary ,0.11161437630653381
@POTUS watching @LeoDiCaprio docu. Funny you talk up doing something about climate change yet do nothing on #DAPL #NoDAPL #ClimateAction,0.009239884093403816
"@highwaystarzo 1 of the benefits of global warming &amp; international terrorism,is that more people are holidaying in England,ill drink to that",0.9464364647865295
@TL_Wiese @HillaryClinton @realDonaldTrump He's hot headed and vindictive. He's pro use of nukes. He thinks climate change is a hoax.,0.003381328424438834
Thinking wonÃ¢â‚¬â„¢t stop climate change ,0.02150350995361805
@fisherstevensbk #beforetheflood taught me more about climate change than my entire formal education!! insightful and bold!!,0.998840868473053
"Im constantly on the verge of a climate change rampage 
WE ARE KILLING EARTH PEOPLE WAKE UP",0.004137078765779734
"@michellemalkin Trump wins election &amp; he is now a catalyst for climate change in Wash. No more cush jobs, they will be accountable,nopension",0.46359995007514954
Cloudy feedback on global warming -   #global ,0.007607795298099518
"Canada not ready for climate change, report warns - The Globe and Mail - we have no time ",0.0023502749390900135
"Global Climate Action Agenda at #COP22

Governments alone cannot solve global warming. Climate change affects us... ",0.017088713124394417
The new @NatGeo &amp; @LeoDiCaprio documentary on climate change #BeforeTheFlood is on Youtube. ,0.05558691918849945
The worst thing about global warming is it allows people to wear flip-flops in public later on into the year.,0.00022811484814155847
"@rbsralaw 270 minutes of debate time, zero questions on climate change or education policy. ISIS! Emails! NAFTA!",0.0019098377088084817
Company directors to face penalties for ignoring climate change #auspol politicians should too ,0.005423482973128557
If global warming continues at the current pace it will change the Mediterranean regi ... #Tattoos #Funny #DIY ,0.9223390221595764
@realDonaldTrump for president... now he just needs to realize the reality of climate change amongst a few other things #ivoted,0.0017374304588884115
"stp with the global climate change, put your efforts toward selling the sizzel EV's and PV's the key is more homes with solar #solarchat",0.036163222044706345
Leo's climate change documentary is so epic. He's amazing.,0.999890923500061
"Canada not ready for catastrophic effects of climate change, report warns: The report graded each province an... ",0.007969945669174194
"RT ClimateReality: Clean energy proves there are real, solid solutions to climate change that make economic sense!Ã¢â‚¬Â¦ ",0.9744665026664734
"Clouds are impeding global warmingÃ¢â‚¬Â¦ for now: 

Lawrence Livermore National Laboratory researchers have id... ",0.007955481298267841
#Halloween's ok but if you really wanna get scared watch the new @NatGeoÃ¢â‚¬â€¹ climate change doc with @LeoDiCaprio ,0.13359162211418152
"That climate change story you've always wanted to tell? 
Now's the time. #ClimateAction Film Contest. ",0.08053339272737503
"#ClimateChange #CC Polar vortex shifting due to climate change, extending winter, study ...  #UniteBlue #Tcot :-(",0.05900491774082184
"Before the Flood - National Geographic - Join Leonardo DiCaprio as he explores the topic of climate change.
",0.999005138874054
@bhandel58 climate change is not the only thing of importance going on in the world. Role of govt is not to try to be the sun.,0.1351400911808014
Fuck all the people who don't believe in global warming it's real and we need to actually need to pay attention to it,0.002269062679260969
"If scientists can't convince the US that climate change is real, how can its citizens convince eachother to change?",0.0006253005121834576
Adapting to climate change.. ,0.9965149164199829
We don't need to be an indigenous person to show support. Its time to treat the NATIVE right and take climate change seriously #NoDAPL,0.9657388925552368
@RepDonBeyer Be sure to personally invite me to this like you said you did at the climate change forum. Never got it ,0.0036112540401518345
Join LeoDiCaprio as he searches for answers on the issue of climate change. #BeforeTheFlood starts now! ,0.07631766051054001
"@goodthngs IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.07421133667230606
This whole global warming thing really is unfortunate...,0.0002900764811784029
Listen to 58 years of climate change in one minute ,0.16817177832126617
"@PracticalDoggo the main goal is to protect species from over fishing and allow them to repopulate, not to protect them from global warming",0.008388977497816086
"My little Owlette saved halloween, the election, climate change, and negativity. She's SO SPECIAL!!! ",0.9996644258499146
I want this but I live in Texas and every season is now global warming ,0.9935691356658936
"Remember when #Trump bragged about committing sexual assault, disregarded the Geneva conventions, and called climate change a hoax?",0.0028620969969779253
"@crisastoc IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.02150648459792137
"Lois Barber: Nuclear weapons, climate change reasons to back Clinton: Trump has called for a huge military bu... ",0.03644690290093422
If you haven't watched this yet you really need to. climate change is only going to get worse. ,0.0008966180612333119
"And people say global warming doesn't exist. So that's why we have summer weather in fall right? Okay.

Ã°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š ",0.01149225514382124
Nigga asked me what's my inspiration I said global warming,0.9516924023628235
That's crazy that some politicians still don't believe in global warming.,0.016654495149850845
@ANI_news I doubt this would work. Plus it added more to existing pollution levels and worsened global warming,0.0054499078541994095
Polar bears for global warming. Fish for water pollution. ,0.024402759969234467
Americans are even less worried about Russia than climate change.,0.20855712890625
"#ClimateChange: For New York, climate change is an immediate existential threat.: ",0.032524771988391876
@LeoDiCaprio thank you for the eye opening documentary. If you want a real and true portrait of climate change watch #BeforeTheFlood NOW!!,0.999390721321106
"Polar vortex shifting due to climate change, extending winter, study finds
 ",0.9832099676132202
#SDG13 is a call to take urgent action to combat #climate change and its impacts. Join the movement:Ã¢â‚¬Â¦ ,0.2293616086244583
@PDChina Its global warming..,0.7411558628082275
I'm not even ready to watch Before the Flood bc it's gonna make me hella emotional &amp; angry at people for not caring about global warming,0.0018546741921454668
Watching Bill Nye the Science Guy special on climate change. One dude just leaves us 15 more years to survive. Doomed,0.0009909383952617645
Ã¢â‚¬Å“Will global warming help drive record election turnout?Ã¢â‚¬ï† by @climateprogress ,0.0059890104457736015
"Supreme Court, building on healthcare, climate change...#ButHillarysEmails",0.04607626423239708
@NWSSeattle is this climate change or just weather?,0.005361484829336405
#Halloween's ok but if you really wanna get scared watch @NatGeo's newÃ¢â‚¬â€¹ climate change doc with @LeoDiCaprioÃ¢â‚¬Â¦ ,0.05822192132472992
Leo DiCaprio whining about his future kids not being able to see snow when the best way to stop climate change is to not have kids. Ã°Å¸Ëœâ€™,0.004212058614939451
National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube  via #thenextweb,0.026984814554452896
Glaciers for global warming ,0.9658104777336121
"@inferillum @johnpodesta @ChadHGriffin sister, and his views on the pipelines, climate change issues is endgame for me. I can't do it.",0.022824564948678017
A must watch documentary on global warming. ,0.9997847676277161
In the end of October CAREC experts on climate change and sustainable energy met with Nazarbayev UniversityÃ¢â‚¬â„¢s team ,0.8102407455444336
Highly recommend #BeforeTheFlood documentary on climate change for a truly terrifying wake up call this Halloween. ,0.9985653758049011
Top university stole millions from taxpayers by faking global warming research  #earthfirst ,0.009524725377559662
Amplified plant turnover in response to climate change forecast by Late Quaternary records ,0.3604086935520172
Recent pattern of cloud cover may have masked some global warming: ThereÃ¢â‚¬â„¢s a deceptively simple number at the... ,0.2366064041852951
Recent pattern of cloud cover may have masked some global warming: ThereÃ¢â‚¬â„¢s a deceptively simple number at the... ,0.2366064041852951
Keynote: Modeling impacts of climate change- what are information needs? Tim Carter Finnish Env Institute #SASAS2016 ,0.4877484142780304
Soils help to combat and adapt to climate change by playing a key role in the carbon cycle  via @FAOKnowledge,0.9779319167137146
Google:How Margaret Thatcher helped protect the world from climate change - CityMetric ,0.8446961045265198
@andyserling That's right. Aqueduct has an indoor studio. With climate change we can expect more aberrations at Belmont in the future.,0.9909971952438354
"@Baileytruett_yo @Tomleewalker why do people defend the leading cause of climate change, deforestation, pollution etc get over it it's meat",0.009281297214329243
"In rare move, China criticizes Trump plan to exit climate change pact  #Politics #News",0.4236365854740143
Leonardo DiCaprio's documentary on climate change slays! Ã°Å¸Ëœï†Ã°Å¸Ëœï†Ã°Å¸Ëœï†Ã°Å¸Å’Å½Ã¢ï†Â¤Ã¯Â¸ï† Give it a watch on YouTube!,0.36817294359207153
"Reuters: In rare move, China criticizes Trump plan to exit climate change pact: BEIJING (Reuters...  #environment",0.8422793745994568
"In rare move, China criticises Trump plan to exit climate change pact ",0.59455406665802
NatGeoÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube  by #jokoanwar via @c0nvey,0.029418393969535828
Are we ready to take the necessary steps to reduce climate change through revolutionary energy evolution? #COP22,0.08951166272163391
#BeforeTheFlood a documentary on climate change Ã°Å¸ï†Â³Ã°Å¸ï†Â¼Ã°Å¸ï†Â§ ,0.014348900876939297
"Reuters: In rare move, China criticizes Trump plan to exit climate change pact  ",0.8364366292953491
Indian farmers fight against climate change using trees as a weapon ,0.8838742971420288
"In rare move, China criticises Donald Trump plan to exit climate change pact: Donald Trump has threatened to ... ",0.11153973639011383
@e3f3c53fc7ae44e @EjHirschberger @RealStrategyFan #blast caused by cow farts global warming and HRCs hot lying air,0.004361352883279324
Meet the unopposed Assembly candidate who says climate change is a good thing that hurts 'enemies on the equator'Ã¢â‚¬Â¦ ,0.004979263991117477
Meet the unopposed Assembly candidate who says climate change is a good thing that hurts 'enemies on the equator' ,0.011558507569134235
"Polar vortex shifting due to climate change, extending winter, study:
- 'idea...controversial'
",0.16998377442359924
"Endangered, with climate change to blame - High Country News ",0.06645895540714264
"If you think climate change is a figment of your imagination watch this 
",0.9893324375152588
"Indian farmers fight against climate change using trees as a weapon

",0.8838742971420288
Lisbon will likely be in the middle of a desert by 2100 if we donÃ¢â‚¬â„¢t mitigate climate change  via @qz,0.008464000187814236
"In rare move, China criticises Trump plan to exit climate change pact: Trump has threaten...  #pakistan #business",0.16426801681518555
Halloween costumes and race and climate change ,0.9541615843772888
We need to educate local communities about climate change &amp; local strategies to tackle it- Mr Mungwe. @environmentza @Youth_SAIIA @CANIntl,0.17675495147705078
"@TheRickyDavila no paying taxes, give USA away for Putin, investment from China, sexual assaults,stupid 'bout climate change'll make us sink",0.00045801681699231267
@MrBenBrown You need to watch Nat Geo's 'Before the Flood' with Leonardo DiCaprio. The most shocking and inspiring film on climate change.,0.999790608882904
Man has no significant effect on climate! Hence the name change from global warming hoax to climate change hoax! ,0.00023033295292407274
China on Tuesday rejected a plan by Donald Trump to back out of a global climate change pact.,0.006665094755589962
"Rest assured, wine lovers, your favourite tipple will adapt to climate change ",0.9995636343955994
How a rapper is tackling climate change - Deutsche Welle: Deutsche WelleHow a rapper is tackling climate chan... ,0.13106510043144226
"In rare move, China criticizes Trump plan to exit climate change pact - CNBC ",0.6099410057067871
Low Carbon Economy Index 2016: UK maintains its position as a climate change leader - Press room ,0.8803544640541077
Makes a free movie to raise awareness about climate change  #9GAG,0.40605488419532776
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters #carbon #economy #Politics",0.3151612877845764
Video lecture: the crisis in Syria and role of climate change ,0.4690781533718109
Makes a free movie to raise awareness about climate change: ,0.8049688935279846
@AstroKatie You might mention that Hilary Clinton strongly endorses science and believes climate change is real.,0.9744832515716553
#China Briefing: China acting on climate change:  provides the full transcript of the S... ,0.8792632818222046
Looking forward to #ssnconf16 tomorrow? Us too! Get in the climate change mood with our new newsletter MORE &gt;&gt; ,0.9778598546981812
"Been watching #BeforeTheFlood this evening, I hope it helps inspire people to act to stop climate change - now! ",0.9990297555923462
"In rare move, China criticizes Trump plan to exit climate change pact

China on Tuesday rejected a plan by Donald T ",0.06732086092233658
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters #climatechange #china",0.4205130636692047
How a rapper is tackling climate change - Deutsche Welle   #Bluehand #NewBluehand #BluehandÃ¢â‚¬Â¦,0.03967564180493355
#weather Cloudy feedback on global warming Ã¢â‚¬â€œ  Ã¢â‚¬â€œ   #forecast,0.010873082093894482
@seanhannity im telling u obama is behind it cuz global warming issues. 2 in matter of weeks. We've never had thisÃ¢â‚¬Â¦ ,0.02318452298641205
Indian farmers fight against climate change using trees as a weapon ,0.8838742971420288
"Deny climate change
'I pay my taxes' (but probably not) ",0.008228110149502754
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters",0.49172621965408325
"In rare move, China criticizes Trump plan to exit climate change pact  ",0.5970365405082703
"1st November???
Surely no such thing as #global warming ",0.00712564866989851
What if this is the angle with which we can create a coherent response to climate change?,0.42978134751319885
"@ThomasARoberts @JamesCarville
press. #Clinton emails. #Trump calls global warming a chinese hoax. Clinton emails. Trump praises #Putin and",0.9865278601646423
Cartoon: If the media covered climate change the way it covers HillaryÃ¢â‚¬â„¢s email  #Voices #NeÃ¢â‚¬Â¦ ,0.00253108493052423
Hilary should appoint Barak and Matt @MattDamonOnline to handle climate change.,0.05777933448553085
@FlitterOnFraud @Reuters meaning the climate change pact likely has massive kickbacks for China,0.014691734686493874
A high of 74 today the first day of November yep global warming is fake,0.0007407346274703741
"In rare move, China criticizes Trump plan to exit climate change pact",0.5970365405082703
".@Reuters Trump doesn't believe in global warming, CHINA is even telling him he's wrong",0.011774401180446148
I clicked to stop global warming @Care2: ,0.00371043523773551
Cartoon: If the media covered climate change the way it covers Hillary's email ,0.003959004767239094
"Watch Leo DiCaprio talk #climate change with Elon Musk, the Pope and the president - MarketWatch:  #environment",0.9913890957832336
Time for Christmas music...but global warming won't let me get in the mood,0.9906646013259888
November 1 the high is 85 and the dude running for president doesn't think global warming is real,0.000938289042096585
Green News: How a rapper is tackling climate change ,0.996421217918396
Cartoon: If the media covered climate change the way it covers Hillary's email ,0.003959004767239094
@muzikgirl11 I hope global warming keeps it 84 and sunny in southern florida for the rest of our lives.,0.9993483424186707
"wow, 64 degrees in November?! this is global warming at its finest",0.9996334314346313
"In rare move, #China criticizes Trump plan to exit climate change pact  via @Reuters #climatechange",0.2760205566883087
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters",0.49172621965408325
"In rare move, China criticizes Trump plan to exit climate change pact:  via @Reuters",0.6092768311500549
"Th teaser for GUILT TRIP
a climate change film with a skiing problem is dropping today. 
TheÃ¢â‚¬Â¦ ",0.005635329056531191
@tonyschwartz @kimmie8264 And says climate change is a hoax. This will ensure America will be the bully that destroys earth. Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡,0.003931066021323204
Vicki Cobb: The Cheeseburger of the Forest: Evidence of Global Warming: For the climate changeÃ¢â‚¬Â¦  | @HuffingtonPost,0.6534010171890259
Vicki Cobb: The Cheeseburger of the Forest: Evidence of Global Warming: For the climate changeÃ¢â‚¬Â¦  | @HuffingtonPost,0.6534010171890259
Vicki Cobb: The Cheeseburger of the Forest: Evidence of Global Warming: For the climate changeÃ¢â‚¬Â¦  | @HuffingtonPost,0.6534010171890259
@sjhamp12 'global warming isn't real',0.00038056180346757174
"@Sluttela not this year apparently, global warming kill us all",0.0008890137542039156
Climate champion Carney to stay at the Bank of England | Climate Home - climate change news  via @ClimateHome,0.9800037741661072
#Brazil Rio's famous beaches take battering as scientists issue climate change warning  ,0.019107626751065254
"The #chemicals industry has joined the fight to prevent climate change.
",0.974346935749054
Thank you global warming for giving us nice weather in November,0.9998635053634644
pls don't tell my global warming isn't real when the high today is pushing 90 degrees Ã°Å¸â„¢Æ’,0.001847381005063653
In 4 days the most ambitious climate change agreement in history enters into force. Have you read... ,0.9985823631286621
hmmmm climate change isn't real! ,0.0002060417755274102
"@OpChemtrails 
let's zero out climate change with Nature &amp; Agriculture instead #MOhempKenya snippetÃ¢â‚¬Â¦ ",0.005950916558504105
Ã¢â‚¬Å“At the Intersection of Politics and EventsÃ¢â‚¬ï† -- Marine Corps U Journal publishes special issue on #climate changeÃ¢â‚¬Â¦ ,0.03739033639431
"Question 1: do u like smoking weed?
2: do you hate paying taxes?
3: do you think global warming is just a big ol hoÃ¢â‚¬Â¦ ",0.004024943336844444
"Niggas asked me what my inspiration was, I told'em global warming, you feel me? #cozy",0.9707071781158447
It's 80 degrees on november first climate change is real we're in a drought the reef is dead bees are dying donald trump might be president,0.003874473972246051
@ddale8 That's a good one. Shouldn't he be out denying climate change?,0.999478280544281
I don't know why people are happy over the fact it's 70 degrees out in November. It's called global warming.,0.8177910447120667
70's in November? I officially believe in global warming,0.9921729564666748
Exxon Mobil sued over climate change cover-up Ã¢Å¾Â¡Ã¯Â¸ï† by @c_m_dangelo  via @HuffPostGreen Back #JILL &amp; support renewables,0.0032949720043689013
"China criticizes Trump's plan to exit climate change pact... CHINA!! Dude?! 
 @TheDailyEdge",0.006312752608209848
#DailyClimate Pacific Island countries and climate change: Examining associated human ,0.9855308532714844
@CaseyNeistat Thoughts on #BeforetheFlood + global warming in the next #Vlog? ;-) ,0.022764990106225014
if you don't believe in global warming now then I truly don't know what to tell you,0.0007589744054712355
Centrica is a world leader for action on climate change  | ,0.9979149699211121
@YouTube @NatGeo @LeoDiCaprio He lectures poor Americans about climate change while leaving a million x bigger carbon footprint.,0.06595897674560547
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters",0.49172621965408325
"Because if you are a denier of climate change, you are a denier of your own existence.",0.9927686452865601
So apparently what global warming means for me is spending a lot of time being furious that it's warm &amp; sunny #iwantFALL,0.9802507162094116
Niggas asked me what my inspiration was i told em global warming,0.013812320306897163
@LeoDiCaprio 's #BeforeTheFlood is such a masterpiece. Never knew so many things were associated with global warming.,0.999197781085968
RT techjunkiejh:RT FastCoExist: Most corporate climate change pledges aren't strict enough to stop climate change Ã¢â‚¬Â¦ ,0.011669601313769817
@ClimateReality Sorry. I don't believe in climate change. I think it's a big sham to get more tax dollars that should be going elsewhere.,0.00020962889539077878
Who the fuck taught @WaltDisneyWorld to monopolize global warming... I'm spending $4.25 on a powerade to keep my ass alive in this heat,0.9770581722259521
"In rare move, China criticizes Trump plan to exit climate change pact  via @Reuters",0.49172621965408325
"@mtracey @DouthatNYT Instead they spent 6 years blocking all progress, denying global warming and attempting to nix the ACA, great job!!!!",0.0007337615243159235
"Before the Flood is a documentary about climate change and global warming, narrated by Leo DiCaprio as UN's messenger of peace (not actor).",0.9953562617301941
GOP senator on climate change: 'Mankind has actually flourished in warmer temperatures'  # via @HuffPostPol,0.9409307241439819
"In rare move, China criticizes Trump plan to exit climate change pact - ",0.540209174156189
 | Parliament ratifies Paris climate change agreement  ,0.8506478071212769
"RT Rio's famous beaches take battering as scientists issue #climate change warning,  #globalwarming #beachlife",0.007946913130581379
"#NoDAPL: Either @Potus doesn't actually believe in climate change, or he's willing to shelve it for big business. Think about it #Berners",0.6248014569282532
@_MrYezzir Minnesota?? I want fall weather not winter weatherÃ°Å¸Ëœâ€˜. This is global warming at its finest Ã°Å¸â€˜Å½Ã°Å¸ï†Â¾,0.9834302663803101
"Retweeted Kholla Bashir (@bashir_kholla):

Worldwide people are much less concerned about climate change.... ",0.0006570136756636202
74 in November. s/o climate change,0.48076027631759644
"The Chinese understand what's at stake here.

In rare move, China criticizes Trump plan to exit climate change pact ",0.42594292759895325
@lucas_gus_ was playing Christmas music at 12:01 AM. Well jokes on you Lucas it's 73 out rn and global warming is coming before Christmas,0.20806202292442322
"@diagstudio IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.022487429901957512
"12 reports to read before the #climate summit | Climate Home - climate change news  via @ClimateHome
#ActOnClimate",0.2996753752231598
I like how we're all just ignoring global warming lol Ã¢ËœÂ¹Ã¯Â¸ï† ,0.0042710257694125175
An upside to climate change is that I'm wearing shorts and t-shirt on November 1.,0.07415037602186203
Too bad this normally intelligent man believes that the world is ending due to global warming which is the fault ofÃ¢â‚¬Â¦ ,0.003079512855038047
"So. The Green party candidate has endorsed a dude who says climate change is a hoax. Feel shame, Stein voters. ",0.0028216412756592035
research analyst environmental and climate change programs: BS/BA with coursework in environmentalÃ¢â‚¬Â¦  #ClimateChange,0.17377570271492004
@reinccarnate like police brutality or global warming or animal endangerment. not something petty like a damn green cup.,0.8228092789649963
Company directors to face penalties for ignoring #climate change #auspol  via @Jackthelad1947,0.002676659496501088
"Watch Before the Flood, an urgent call to arms about climate change  #misc #feedly",0.06896483898162842
I knew if it warmed up that someone would pull that climate change shit... Not saying it doesn't exist but come on,0.007956144399940968
When the weather is 75 degrees+ in November but you're also worried about climate change. #climatechange #weatherÃ¢â‚¬Â¦ ,0.018507156521081924
If you aren't watching Leonardo's documentary on climate change then wyd,0.5365908145904541
Importance of climate change emergency prep work ,0.996206521987915
You can watch Leonardo DiCaprio's climate change documentary right here #climatechange ,0.9900557994842529
Liberals changed the term 'global warming' to 'climate change'; because it didn't. Only a $ laundering for Plutocracy #PoliticallyReactive,0.0040198867209255695
@JohnFromCranber @ByronYork @MZHemingway @FDRLST Trump has secret island where he is making climate change accelerator!,0.9124739766120911
"RT ReutersWorld: In a rare move, China has criticized Trump's plan to exit the Paris Agreement on climate change:Ã¢â‚¬Â¦ ",0.06967692077159882
"#Wisconsin people, climate change is real Vote #democrat Stand against @PRyan and show him actions speak louder ",0.9439351558685303
"Government has failed 
'Australian business woefully unprepared for climate change post Paris agreement' #auspol ",0.0007248492329381406
"1999: you'll die due the Y2K Bug. 2008: ditto, climate change. 2016: all you own will be hacked. Not quite, say IÃ¢â‚¬Â¦ ",0.000598459504544735
It's fucking November and I'm still in t shirts and track shorts. You can't tell me climate change isn't real.,0.001096111722290516
"I used to look the other way at climate change issues, till I had to pay attention. It's real and saddening. We are killing everything.",0.007127425633370876
"76 on November 1st? Fuck this shit if you don't think climate change is real, wake the fuck up",0.0030218157917261124
Leo Dicaprio is seriously concerned about climate change. Except when Canne film festival is on. Then he's concerned about boats and pussy.,0.9912838935852051
SPPI is a green advocate and helps in the preservation of more trees to help curb climate change.  #exteriorpainters,0.9981920123100281
73 degrees on November 1st.. But global warming isn't real right?,0.009111540392041206
I do not understand how people still don't believe in climate change,0.0004650632035918534
"@icouldbeannyone IÃ¢â‚¬â„¢m creating a new think tank for climate change, would you join and post your tweet also at  ?",0.021055443212389946
Is climate change sexist? Ã°Å¸â€˜â‚¬ ,0.01308508776128292
"@Sanchordia We really don't have time to play politics with climate change, we need to start hurrying it along.",0.0011382336961105466
"RBReich: I'm often told that climate change is a middle-class issue, and the poor care more about jobs and wages. Ã¢â‚¬Â¦ ",0.00958522129803896
First day of November and the high was 88 degrees. Good thing climate change isn't real.,0.009326057508587837
@kkfla737 I don't think Rubio is gonna lose although I'm not afraid to say he doesn't have my vote. 2017 and still denying climate changeÃ°Å¸â€˜Å½,0.9260365962982178
"No, climate change is NOT a Ã¢â‚¬Ëœnatural cycle.Ã¢â‚¬â„¢ 
10 ways we can tell humans are affecting it: ",0.03228361904621124
